Filter_Stage,Pressure,Min,Max,Mean,Median,Mode,Variance,Skewness,Kurtosis,perc_2,perc_5,perc_20,perc_80,perc_95,perc_98,Range
1,6,6.284000916,9.856736504,9.089372165,9.810736141,9.821005338,1.96810626,-1.416580684,0.010795369,6.348402588,6.360670128,6.40053672,9.826069595,9.835269279,9.838337135,3.572735588
1,6,6.618274876,10.03460807,7.243800796,6.722545082,6.720401133,1.422047213,1.844281546,1.41621531,6.688808376,6.694944088,6.707209686,6.756277905,9.988605762,10.0008733,3.416333191
1,6,6.621342731,10.04380581,7.718258923,6.719477226,6.716178797,2.278198855,0.837259296,-1.294716913,6.679610634,6.685744404,6.701077858,9.985537907,10.01314084,10.02540644,3.422463078
1,6,6.688808376,10.13580848,9.379681056,10.05607335,10.064401,1.780210202,-1.450753129,0.110571034,6.73481068,6.747076279,6.797372028,10.07447466,10.09287597,10.10207371,3.447000099
1,8,6.520140381,11.66917136,7.38977593,6.621342731,6.619155089,3.252066592,1.904682813,1.638376588,6.575340427,6.584542053,6.602941422,6.645873928,11.62930477,11.64003741,5.149030983
1,8,6.544673519,11.67223728,8.223401586,6.612141106,6.601851716,5.509643093,0.753926661,-1.430615838,6.563074829,6.572272572,6.587606026,11.62316906,11.64463823,11.650772,5.127563759
1,8,6.587606026,11.73970486,10.71444809,11.6937045,11.70402545,3.953430682,-1.546620354,0.406329297,6.618274876,6.630540474,11.206096,11.7090399,11.71823764,11.72437141,5.152098839
1,8,6.636676186,11.73357304,7.48999892,6.701077858,6.696525346,3.319003441,1.866431949,1.49241232,6.667341152,6.673474922,6.685744404,6.719477226,11.7090399,11.71517173,5.096896851
1,8,6.569206657,11.70597204,8.162497946,6.6397421,6.620386753,5.372301085,0.849468851,-1.278550345,6.599875507,6.60907325,6.621342731,11.66303759,11.68450482,11.6937045,5.136765385
1,8,6.691876232,11.81024031,10.75623332,11.77037371,11.7814899,4.04738105,-1.482808444,0.215166778,6.7124231,6.722545082,8.378575603,11.78570523,11.79490685,11.79797277,5.118364075
1,8,7.041483646,11.95131119,7.896888764,7.127352543,7.125541933,3.081218813,1.833184932,1.371682076,7.090551865,7.098677799,7.112017147,7.148819767,11.92064234,11.92984397,4.909827545
1,8,7.066016785,11.95437711,8.57958915,7.124284687,7.116412804,4.867074904,0.843141341,-1.28463123,7.084418095,7.090551865,7.105885319,11.91757643,11.93904365,11.94517548,4.888360321
1,8,7.081350239,12.03104438,10.99467401,11.98504401,11.98743553,3.783380307,-1.46137906,0.14263965,7.130416515,7.142685997,7.194818188,11.99731155,12.00957909,12.01264501,4.949694138
0,6,5.958928581,9.746334469,6.639289275,6.08466407,6.082009533,1.698910714,1.914270231,1.675507699,6.050931248,6.057065018,6.072398472,6.106131294,9.715667561,9.724867245,3.787405888
0,6,6.001863029,9.758602009,7.233844332,6.087729984,6.073050918,2.854753068,0.776833051,-1.393650309,6.044795536,6.050931248,6.069330616,9.703400021,9.727933159,9.737134785,3.756738979
0,6,5.922127903,9.786201061,8.954831549,9.727933159,9.73361708,2.240713304,-1.409532924,-0.009716796,6.041731564,6.053997162,6.093865696,9.743266613,9.753694604,9.758602009,3.864073158
0,8,5.682922523,11.31343018,9.630698387,11.23062914,11.24965215,6.198172667,-0.900999229,-1.18368165,5.735056656,5.748705799,5.784124874,11.2643639,11.28889704,11.29693168,5.630507656
0,8,4.588103802,11.9666427,7.268581199,6.538539749,6.51191165,5.280748559,0.728960024,-0.788300575,4.588103802,4.591167774,4.627357211,9.767801693,11.28889704,11.73970486,7.378538902
0,8,6.468006248,9.798468601,7.369587486,6.550805347,6.536064686,1.970350844,1.101710912,-0.78388565,6.504806927,6.510938755,6.529338123,9.737134785,9.764733837,9.773935463,3.330462353
1,6,6.40667049,10.02234053,7.0791372,6.547741375,6.546204096,1.537973031,1.898656397,1.616191413,6.514006611,6.523206295,6.535473835,6.569206657,9.988605762,9.997805447,3.615670036
1,6,6.498673157,10.06220712,7.666487092,6.575340427,6.566136127,2.567617446,0.768896015,-1.404367624,6.532405979,6.541607605,6.553873203,10.00393922,10.02540644,10.03460807,3.563533962
1,6,6.434273426,10.09287597,9.322552373,10.03460807,10.04262248,1.972392665,-1.457298509,0.129307978,6.532405979,6.544673519,6.593739796,10.04993958,10.06220712,10.06834089,3.658602543
1,6,5.906792507,9.448863129,6.544515025,6.011062714,6.002651019,1.523178371,1.866654388,1.493066871,5.968128265,5.977329891,5.992663345,6.041731564,9.40592868,9.418194279,3.542070621
1,6,6.345336674,9.991673618,7.596352567,6.489473473,6.484487167,2.62484987,0.758261235,-1.423216016,6.443471169,6.449602997,6.468006248,9.9426054,9.967138538,9.973272308,3.646336945
1,6,6.4250718,10.0591412,9.27484041,10.01007299,10.0178281,2.031206298,-1.41840223,0.017339645,6.486405617,6.498673157,6.544673519,10.02540644,10.03460807,10.04073989,3.634069405
1,6,6.360670128,9.798468601,7.054215276,6.544673519,6.547251462,1.38557181,1.833525064,1.369780142,6.483339703,6.493764587,6.517072525,6.575340427,9.752468239,9.767801693,3.437798473
1,6,6.379069496,9.795402687,7.539502259,6.526274151,6.51650556,2.243811127,0.781677555,-1.385614668,6.483339703,6.492537445,6.507870899,9.734068871,9.755534153,9.764733837,3.416333191
1,6,6.388271122,9.801534515,9.05735238,9.743266613,9.751333884,1.77815198,-1.412306691,0.002527353,6.449602997,6.458804623,6.515232977,9.764733837,9.777001377,9.783135147,3.413263393
1,8,6.149065742,11.4667686,7.069804292,6.234934639,6.233183701,3.612742967,1.83701907,1.38629148,6.207333645,6.213467415,6.222667099,6.256399921,11.43303384,11.44223352,5.317702862
1,8,4.646371704,11.5066352,6.59760835,5.771859276,5.755003497,4.815056147,1.575584734,0.751547658,4.649435677,4.655722839,5.735056656,6.206720074,11.43609975,11.46983452,6.860263493
1,8,5.676788754,11.25209636,6.970775267,5.75652388,5.742514703,5.109372577,1.318595593,-0.254712731,5.716659229,5.722791058,5.738124512,11.15396187,11.206096,11.22142945,5.57530761
1,8,5.961996437,11.32876558,6.840039823,6.041731564,6.035240473,3.544056713,1.927786075,1.726871578,6.004930885,6.014130569,6.026396168,6.063198788,11.30116264,11.30729835,5.366769138
1,8,6.124530663,11.46063289,7.847791525,6.225733013,6.22064484,5.812158868,0.800710371,-1.353856885,6.176666737,6.185866421,6.204265789,11.41769844,11.44223352,11.44836729,5.33610223
1,8,6.145997887,11.51890079,10.40853969,11.47596829,11.48210086,4.454462973,-1.476752915,0.190627442,6.188932335,6.201201817,6.296268456,11.49130174,11.50050143,11.50356928,5.372902908
1,8,6.440405254,11.5066352,7.30155426,6.514006611,6.507750187,3.263164448,1.853779601,1.451199771,6.471070221,6.480271847,6.498673157,6.538539749,11.47596829,11.48516797,5.066229942
1,8,6.428135773,11.53116833,8.088499159,6.529338123,6.506381692,5.305365788,0.781743705,-1.383577539,6.468006248,6.480271847,6.501739071,11.46983452,11.49436766,11.50356928,5.103032562
1,8,6.382137352,11.53116833,10.43314891,11.4790342,11.48744902,4.143214227,-1.430117387,0.053939703,6.43120557,6.443471169,6.517072525,11.49743357,11.50970111,11.51583488,5.149030983
0,6,5.716659229,9.565398933,8.460645703,9.507131031,9.518439621,2.71959222,-0.92921108,-1.13385312,5.848528488,5.857726231,5.882261311,9.525530399,9.540863853,9.546997623,3.848739704
0,6,5.799458328,11.43916567,10.59014887,11.36556625,11.3835335,1.932221689,-2.128938923,4.420199934,5.863860001,5.894067313,9.522464485,11.39009939,11.41156662,11.4207663,5.63970734
0,6,4.643303848,11.53116833,7.136091126,4.649435677,4.644093188,10.82174646,0.566008557,-1.680030885,4.646371704,4.646371704,4.646371704,11.48516797,11.50970111,11.51890079,6.887864487
0,8,5.827057381,11.42996598,9.718826753,11.37476594,11.37776233,6.294976014,-0.851896933,-1.269045604,5.888395081,5.897594765,5.922127903,11.39623316,11.4085007,11.41156662,5.602908604
0,8,5.860794086,11.53423619,11.35315137,11.43609975,11.42735552,0.485730089,-7.686518477,57.26070482,11.36587285,11.39929908,11.41769844,11.4667686,11.50050143,11.50970111,5.673442104
0,8,4.695437981,11.57103687,5.345126445,4.713837349,4.718668078,3.92718057,2.800500941,5.847239394,4.695437981,4.695437981,4.704639606,4.716905205,11.53423619,11.54343393,6.875598888
1,6,6.293202541,9.847536819,7.456290611,6.412806202,6.401261659,2.46635385,0.817732288,-1.328149489,6.366803898,6.376005524,6.391335094,9.795402687,9.819935825,9.829135509,3.554334278
1,6,4.732238659,9.82300174,6.78133034,5.885327225,5.893631112,3.022917404,0.943140683,-0.821245538,4.732238659,4.735304573,5.863860001,9.476462181,9.792336773,9.801534515,5.090763081
1,6,5.725856972,9.531662228,6.802581031,5.873059685,5.865996519,2.490159091,1.096214007,-0.79455745,5.836259007,5.845460632,5.857726231,9.458062813,9.491797577,9.504063175,3.805805256
1,6,6.36986787,9.961004768,8.992555966,9.904270794,9.910600665,2.308174048,-1.057962672,-0.875270075,6.443471169,6.452670853,6.477205933,9.921138176,9.933405716,9.939537544,3.591136898
1,6,6.287068771,9.92420409,9.130994728,9.881269642,9.885130032,2.040190101,-1.365222462,-0.131001875,6.403604576,6.409738346,6.437337399,9.896605038,9.905804722,9.908870636,3.637135319
1,6,4.876375458,9.899670952,6.767825979,6.452670853,6.452207259,2.329942742,1.082990501,0.250309284,4.87943943,4.882507286,6.388271122,6.477205933,9.850604675,9.862870274,5.023295494
1,6,6.274803173,9.700334106,6.871078872,6.345336674,6.341123398,1.464380096,1.852709973,1.444612629,6.29933437,6.308535995,6.326935364,6.376005524,9.663533428,9.672733112,3.425530933
1,6,4.925441734,10.16340947,6.897588925,6.449602997,6.448123647,2.144524161,1.259892643,0.544015469,4.92850959,4.931575504,6.43120557,6.480271847,9.890471268,10.13580848,5.237967735
1,6,6.388271122,9.918072262,7.428738486,6.455738708,6.449778712,2.387713372,0.941028445,-1.11013192,6.41893803,6.4250718,6.437337399,9.862870274,9.887403412,9.896605038,3.52980114
1,8,6.336135048,11.66610545,10.16722049,11.60783755,11.61902635,5.410767642,-0.991617433,-1.012319283,6.385203266,6.39440295,6.422003944,11.62623692,11.6354366,11.64157037,5.329970402
1,8,4.799708187,11.63850446,6.963563536,5.931327587,5.918892648,5.23897086,1.388420127,0.106905619,4.802774101,4.811973785,5.909860363,10.84606098,11.60477163,11.61703723,6.838796268
1,8,5.842392776,11.38089777,7.355757914,5.919061989,5.902658582,5.71051146,1.053394307,-0.88418187,5.876127541,5.885327225,5.900660679,11.32569772,11.35329871,11.35943054,5.53850499
1,8,6.348402588,11.67530513,10.09503112,11.62010315,11.62695509,5.587391351,-0.900933986,-1.184414591,6.409738346,6.41893803,6.437337399,11.63850446,11.65383791,11.65690382,5.326902546
1,8,4.861042004,11.66303759,7.342385398,6.428135773,6.430878528,5.667206692,1.06810534,-0.484183691,4.870241688,4.873307602,6.385203266,11.5649031,11.61396938,11.6354366,6.80199559
1,8,6.339202904,11.62623692,7.790877211,6.428135773,6.415914834,5.15599805,1.055586931,-0.880815901,6.382137352,6.391335094,6.40667049,11.56183524,11.58943624,11.59863592,5.287034012
1,8,6.796146439,11.89304329,10.54907704,11.8378413,11.85194633,4.745854955,-1.096326469,-0.792278654,6.836013031,6.845212715,6.878945538,11.85317476,11.86850821,11.87770789,5.096896851
1,8,4.92850959,11.87157607,7.123109703,6.461872478,6.454219921,4.795192317,1.392677241,0.497639149,4.931575504,4.93464336,6.428135773,6.80105229,11.81330816,11.83477539,6.943066475
1,8,6.376005524,11.63237069,7.807042864,6.440405254,6.430991271,5.17601324,1.051934265,-0.890545336,6.40053672,6.409738346,6.422003944,11.5771687,11.60170184,11.61090346,5.256365162
